status_pedido,nota_fiscal,pedido_id,data_do_pedido,data_de_faturamento,canal_de_vendas,cod_representante,representante,cnpj_pdv,centro_distribuicao,uf_centro_distribuicao,ean,sku_produto,produto,quantidade_solicitada,quantidade_atendida,quantidade_faturada,quantidade_cancelada,preco_unitario_com_imposto,preco_unitario_sem_imposto,desconto_digitado,desconto_aplicado_em_nota,valor_total_solicitado_com_imposto,valor_total_solicitado_sem_imposto,total_atendido_sem_imposto,total_atendido_com_imposto,valor_faturado
Faturado parcial,357032-ARNPL,8677677,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,MEDCENTRO,TO,7896004703480,10149,Metildopa 250 mg Caixa 30 Comprimidos Revestidos,4,4,4,0,"23,65","20,11","0,00","14,95","94,60","80,46","80,46","94,60","80,46"
Faturado parcial,357032-ARNPL,8677677,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,MEDCENTRO,TO,7896004715537,10584,Mometasona 1 mg/g Bisnaga 20 g Creme,2,2,2,0,"32,03","13,26","0,00","58,60","64,06","26,52","26,52","64,06","26,52"
Faturado parcial,357032-ARNPL,8677677,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,MEDCENTRO,TO,7896004701035,10090,Terbinafina 10 mg/g Bisnaga 20 g Creme,2,0,0,2,"32,55","16,46","0,00","0,00","65,10","32,93","0,00","0,00","0,00"
Faturado parcial,357032-ARNPL,8677677,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,MEDCENTRO,TO,7896004777184,11922,Tramadol 100 mg Caixa 10 Comprimidos de Liberação Prolongada,2,2,2,0,"78,98","48,83","0,00","38,17","157,96","97,67","97,67","157,96","97,67"
Faturado,485864-Z69R7,8677678,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,NAZARIA,MA,7896004751641,11349,Desogestrel 75 mcg Caixa 28 Comprimidos Revestidos,2,2,2,0,"28,16","6,76","0,00","76,00","56,32","13,52","13,52","56,32","13,52"
Faturado,485864-Z69R7,8677678,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,NAZARIA,MA,7896004792316,37360,Naratriptana 2.5 mg Caixa 10 Comprimidos,10,10,10,0,"31,51","17,42","0,00","44,73","315,10","174,16","174,16","315,10","174,16"
Faturado,485864-Z69R7,8677678,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,NAZARIA,MA,7896004790169,37326,Ondansetrona 8 mg Caixa 10 Comprimidos Orodispersíveis,4,4,4,0,"41,85","11,12","0,00","73,44","167,40","44,46","44,46","167,40","44,46"
Faturado,41179010-F3YO2,8677683,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,PROFARMA,DF,7896004739588,11144,Bisoprolol 5 mg Caixa 30 Comprimidos Revestidos,4,4,4,0,"47,29","24,61","0,00","47,96","189,16","98,44","98,44","189,16","98,44"
Faturado,41179010-F3YO2,8677683,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,PROFARMA,DF,7896004710402,10408,Desonida 0.5 mg/g Bisnaga 30 g Creme,2,2,2,0,"33,56","12,38","0,00","63,10","67,12","24,77","24,77","67,12","24,77"
Faturado,41179010-F3YO2,8677683,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,PROFARMA,DF,7896004700533,11026,Enalapril 10 mg Caixa 30 Comprimidos,8,8,8,0,"18,86","2,76","0,00","85,38","150,88","22,06","22,06","150,88","22,06"
